view,id,muscle_name,common,region,function,exercises,keywords
back,gluteus_medius,Gluteus Medius,Hip Abductor,glutes,Hip abduction and pelvic stability,hip abductions; clamshells; side-lying leg raises; single-leg squats,gluteus medius glutes hip stability abduction
back,gluteus_maximus,Gluteus Maximus,Glutes,glutes,Hip extension and external rotation,squats; deadlifts; hip thrusts; lunges; step-ups,gluteus maximus glutes hip extension squats deadlifts
back,vastus_lateralis,Vastus Lateralis,Outer Quad,legs,Knee extension,squats; leg press; lunges; leg extensions,vastus lateralis quadriceps knee extension squats
back,biceps_femoris,Biceps Femoris,Hamstring,legs,Knee flexion and hip extension,leg curls; Romanian deadlifts; good mornings; Nordic curls,biceps femoris hamstrings knee flexion leg curl
back,semitendinosus,Semitendinosus,Inner Hamstring,legs,Knee flexion and hip extension,leg curls; Romanian deadlifts; glute-ham raises,semitendinosus hamstrings knee flexion hip extension
back,adductor_magnus,Adductor Magnus,Inner Thigh,legs,Hip adduction and extension,adductor machine; sumo squats; side lunges,adductor magnus inner thigh hip adduction
back,gracilis,Gracilis,Inner Thigh,legs,Hip adduction and knee flexion,leg curls; adductor exercises; side lunges,gracilis inner thigh hip adduction knee flexion
back,soleus,Soleus,Lower Calf,calves,Ankle plantar flexion (bent knee),seated calf raises; calf press; walking,soleus calves ankle plantar flexion calf raises
back,gastrocnemius,Gastrocnemius,Calf,calves,Ankle plantar flexion and knee flexion,standing calf raises; jump rope; box jumps,gastrocnemius calves ankle flexion calf raises jumping
back,feet,Feet,Foot Muscles,feet,"Balance, stability, and propulsion",toe raises; balance exercises; barefoot training,feet foot muscles balance stability ankle
